load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.0005
Random Initialization - No Saved Model
Epoch:   1 | 10750/39011 batches | lr 0.000472 | ms/batch 558.99 | loss  3.88 | ppl    48.26
Epoch:   1 | 10875/39011 batches | lr 0.000472 | ms/batch 561.91 | loss  3.93 | ppl    50.75
Epoch:   1 | 11000/39011 batches | lr 0.000472 | ms/batch 553.13 | loss  3.93 | ppl    51.10
Epoch:   1 | 11125/39011 batches | lr 0.000471 | ms/batch 559.05 | loss  3.92 | ppl    50.26
Epoch:   1 | 11250/39011 batches | lr 0.000471 | ms/batch 554.15 | loss  3.93 | ppl    51.08
Epoch:   1 | 11375/39011 batches | lr 0.000471 | ms/batch 560.97 | loss  3.92 | ppl    50.24
Epoch:   1 | 11500/39011 batches | lr 0.000471 | ms/batch 557.35 | loss  3.91 | ppl    49.80
Epoch:   1 | 11625/39011 batches | lr 0.000470 | ms/batch 556.91 | loss  3.94 | ppl    51.50
Epoch:   1 | 11750/39011 batches | lr 0.000470 | ms/batch 554.33 | loss  3.90 | ppl    49.19
Epoch:   1 | 11875/39011 batches | lr 0.000470 | ms/batch 554.51 | loss  3.91 | ppl    49.96
Epoch:   1 | 12000/39011 batches | lr 0.000469 | ms/batch 553.25 | loss  3.91 | ppl    49.70
Epoch:   1 | 12125/39011 batches | lr 0.000469 | ms/batch 558.29 | loss  3.89 | ppl    48.95
Epoch:   1 | 12250/39011 batches | lr 0.000469 | ms/batch 556.85 | loss  3.91 | ppl    49.93
Epoch:   1 | 12375/39011 batches | lr 0.000468 | ms/batch 551.30 | loss  3.92 | ppl    50.39
Epoch:   1 | 12500/39011 batches | lr 0.000468 | ms/batch 560.97 | loss  3.90 | ppl    49.63
Epoch:   1 | 12625/39011 batches | lr 0.000468 | ms/batch 545.17 | loss  3.86 | ppl    47.65
Epoch:   1 | 12750/39011 batches | lr 0.000467 | ms/batch 533.49 | loss  3.89 | ppl    49.05
Epoch:   1 | 12875/39011 batches | lr 0.000467 | ms/batch 534.07 | loss  3.86 | ppl    47.29
Epoch:   1 | 13000/39011 batches | lr 0.000467 | ms/batch 539.27 | loss  3.89 | ppl    49.13
Epoch:   1 | 13125/39011 batches | lr 0.000466 | ms/batch 548.41 | loss  3.89 | ppl    48.80
Epoch:   1 | 13250/39011 batches | lr 0.000466 | ms/batch 537.98 | loss  3.88 | ppl    48.27
Epoch:   1 | 13375/39011 batches | lr 0.000466 | ms/batch 530.33 | loss  3.93 | ppl    50.83
Epoch:   1 | 13500/39011 batches | lr 0.000465 | ms/batch 526.19 | loss  3.89 | ppl    49.00
Epoch:   1 | 13625/39011 batches | lr 0.000465 | ms/batch 556.72 | loss  3.84 | ppl    46.56
Epoch:   1 | 13750/39011 batches | lr 0.000465 | ms/batch 528.28 | loss  3.85 | ppl    47.18
Epoch:   1 | 13875/39011 batches | lr 0.000464 | ms/batch 531.20 | loss  3.87 | ppl    48.02
Epoch:   1 | 14000/39011 batches | lr 0.000464 | ms/batch 547.98 | loss  3.89 | ppl    48.96
Epoch:   1 | 14125/39011 batches | lr 0.000464 | ms/batch 557.80 | loss  3.84 | ppl    46.51
Epoch:   1 | 14250/39011 batches | lr 0.000463 | ms/batch 549.22 | loss  3.90 | ppl    49.60
Epoch:   1 | 14375/39011 batches | lr 0.000463 | ms/batch 552.17 | loss  3.87 | ppl    47.98
Epoch:   1 | 14500/39011 batches | lr 0.000463 | ms/batch 558.02 | loss  3.92 | ppl    50.46
Epoch:   1 | 14625/39011 batches | lr 0.000463 | ms/batch 555.76 | loss  3.91 | ppl    49.66
Epoch:   1 | 14750/39011 batches | lr 0.000462 | ms/batch 553.00 | loss  3.85 | ppl    47.14
Epoch:   1 | 14875/39011 batches | lr 0.000462 | ms/batch 550.02 | loss  3.89 | ppl    49.15
Epoch:   1 | 15000/39011 batches | lr 0.000462 | ms/batch 550.64 | loss  3.84 | ppl    46.65
Epoch:   1 | 15125/39011 batches | lr 0.000461 | ms/batch 545.94 | loss  3.86 | ppl    47.41
Epoch:   1 | 15250/39011 batches | lr 0.000461 | ms/batch 552.16 | loss  3.84 | ppl    46.47
